sample,seed,source,target,N_target,spearman,pearson,target_centered_r2,rmse
Q1,20260928,cash,food,901,0.1295848297437195,0.11329607991701403,0.0025093077590101487,0.274228200652188
Q1,20260928,cash,medical,934,0.03152724380410269,0.04743577544528954,-0.10006306230751671,0.24573363691675065
Q1,20260928,food,cash,880,0.08928473307019774,0.10711685516612328,0.005347528945237934,0.28657029282661733
Q1,20260928,food,food,901,0.04985788292758564,0.05541984760917478,-0.003514781831671865,0.27505501968650475
Q1,20260928,food,medical,934,0.07905889475686544,0.06829001227932893,-0.04453820112664442,0.23945173110143275
Q1,20260928,medical,cash,880,0.07270002048322102,0.07169736231506446,-0.04977637928181955,0.2944041196129091
Q1,20260928,medical,food,901,0.11739338711192872,0.08711896319542786,-0.022749139636182747,0.27767849672187966
Q1,20260928,medical,medical,934,0.17879568258952075,0.1617295588036787,0.026091697956139526,0.2312143855317403
Q1,20260929,cash,cash,880,0.07383814516133724,0.1191587917714651,0.013071089045134765,0.2854555032865768
Q1,20260929,cash,food,901,0.1512892865861266,0.13922801129122656,0.00988772590384801,0.2732120879418391
Q1,20260929,cash,medical,934,0.04438815068777222,0.04601067321344762,-0.09919436816424199,0.24563659269369215
Q1,20260929,food,cash,880,0.13872349698019726,0.17320594608415674,0.02282743591939962,0.2840410549216024
Q1,20260929,food,food,901,0.0944797144507367,0.11180612396543871,0.012125169183019202,0.2729032127229458
Q1,20260929,food,medical,934,0.1043725913431151,0.07617563948663152,-0.043588282947341295,0.23934282589840863
Q1,20260929,medical,cash,880,0.03247455929480522,0.04106539895348464,-0.05962024424418666,0.29578122822138575
Q1,20260929,medical,food,901,0.11365442889472671,0.07274368298878683,-0.025977440364382653,0.27811639658370324
Q1,20260929,medical,medical,934,0.1555507928091006,0.130476202857721,0.016156051717148623,0.23239079760152795
Q2,20260925,cash,cash,402,-0.05896610232921986,-0.02048673779801418,-0.023647031014730757,0.30295784730197367
Q2,20260925,cash,food,417,0.0845487144483093,0.04892881992651527,-0.004705293625147267,0.29940957738411283
Q2,20260925,cash,medical,389,-0.03075900114298812,0.031405766101488514,-0.080646321045593,0.2475820803573893
Q2,20260925,food,cash,402,0.11927732484135847,0.04500926910608046,-0.003584578505226421,0.29997432185119016
Q2,20260925,food,food,417,0.01783296959941149,-0.01864590530891453,-0.020888054929183886,0.3018112361813572
Q2,20260925,food,medical,389,0.016476988763367922,0.03062831204745169,-0.09009928392973166,0.24866258574662753
Q2,20260925,medical,cash,402,0.005540035742395836,0.030738190448870238,-0.043204303600506755,0.30583823284641043
Q2,20260925,medical,food,417,0.019971853563707977,-0.0059295738829665155,-0.05667335194426992,0.30705538665721405
Q2,20260925,medical,medical,389,0.07996779260402602,0.043974583005950085,-0.0052758429502579585,0.23879214761294887
Q2,20260926,cash,cash,402,0.010848883418511396,0.08833027534664721,0.006005480760055137,0.2985376332614865
Q2,20260926,cash,food,417,0.012424669453691462,0.026664526268283847,-0.010193377056985531,0.3002262083572559
Q2,20260926,cash,medical,389,0.04033043783808358,0.07930124989894621,-0.05790876567769043,0.24496358320335296
Q2,20260926,food,cash,402,0.03266286345737265,0.019413263438739684,-0.009713066501688683,0.30088883918779064
Q2,20260926,food,food,417,0.028481454345535995,-0.008660259200848227,-0.017212695034739545,0.3012674620174384
Q2,20260926,food,medical,389,0.03193003208312934,0.013470254655145815,-0.09684029053866294,0.24943024642828562
Q2,20260926,medical,cash,402,0.06373370130628123,0.07793021442203257,-0.03389714389677767,0.3044708771800146
Q2,20260926,medical,food,417,0.04813944668802511,0.02282404555354356,-0.04996159569183045,0.30607865912474946
Q2,20260926,medical,medical,389,0.03236787542125483,0.002271632174004155,-0.018458721567304437,0.24035277132990548
Q2,20260927,cash,cash,402,0.021270730948627862,0.03544872102962556,-0.008034622620846754,0.3006386517346231
Q2,20260927,cash,food,417,0.010827955988508093,0.027297182235462878,-0.01205848881321736,0.3005032331435434
Q2,20260927,cash,medical,389,0.035885981307912825,0.06149215387934731,-0.06649133293183929,0.245955242220531
Q2,20260927,food,cash,402,0.046211036630389286,0.027105347897259772,-0.007643752988713004,0.30058035913728615
Q2,20260927,food,food,417,-0.00781442720642975,-0.01609460831610427,-0.017966817294137405,0.30137911536580436
Q2,20260927,food,medical,389,0.05120047200983624,0.020909597272961777,-0.08678185313963183,0.24828392781390687
Q2,20260927,medical,cash,402,0.031106368606519847,0.047851031728525305,-0.038009747282051976,0.3050758334996509
Q2,20260927,medical,food,417,0.03748848588765269,0.015898367272145265,-0.05054254859114482,0.3061633254092143
Q2,20260927,medical,medical,389,0.09664295747512529,0.040864733899925225,-0.006692404506963845,0.23896033264317415
Q2,20260928,cash,cash,402,0.06003964559538333,0.07303875118104222,0.0028714508573364217,0.29900790221825724
Q2,20260928,cash,food,417,0.010033313337288284,0.006075661972396931,-0.014156416553421813,0.30081453318319196
Q2,20260928,cash,medical,389,0.007667111491954792,0.03750598176448021,-0.07173338035750909,0.24655896424548715
Q2,20260928,food,cash,402,0.058437808544468964,0.00795758372024213,-0.013337287912243978,0.30142835433515086
Q2,20260928,food,food,417,-0.0029437723572318187,-0.014721841466829356,-0.018260418883609963,0.3014225740554649
Q2,20260928,food,medical,389,0.07685809162398982,0.06851983234459048,-0.07203126579838126,0.2465932270688104
Q2,20260928,medical,cash,402,0.05304265827747993,0.07157937340567287,-0.03277557865624359,0.3043056883046981
Q2,20260928,medical,food,417,0.035850447930883364,0.02905518256926454,-0.04781617797504545,0.30576578941101645
Q2,20260928,medical,medical,389,0.035035999928735725,-0.016969122598356787,-0.023344534638925385,0.24092859913551543
Q2,20260929,cash,cash,402,0.06733230978091508,0.10713102780230899,0.010839265435817369,0.29781085595434015
Q2,20260929,cash,food,417,0.0268294138750888,0.016246042008532535,-0.013994564647629604,0.30079052833177855
Q2,20260929,cash,medical,389,-0.017629887336278613,0.018277902899678986,-0.08066084654992656,0.24758374428869895
Q2,20260929,food,cash,402,0.07443560360148381,0.041436614160459594,-0.004795979073089374,0.3001553128101995
Q2,20260929,food,food,417,0.04904986622063033,0.0521163438901942,-0.0018684261170758276,0.2989865748717054
Q2,20260929,food,medical,389,0.013396512892867992,0.019218877205684264,-0.0932292864528177,0.24901932234814672
Q2,20260929,medical,cash,402,0.016184021950124833,0.04494182225239939,-0.03884699751240506,0.30519884454430074
Q2,20260929,medical,food,417,0.041026425883203904,0.013359586020831173,-0.05010886074718268,0.3061001232956569
Q2,20260929,medical,medical,389,0.11540046473117554,0.04272553709940966,-0.007327351278009209,0.2390356799756555
