feature_set,model,fold,r2,rmse,mae
A,elastic_net,7,0.005891176625726802,0.2537915702070708,0.1993025774175266
A,elastic_net,8,0.0022314332113065882,0.26133150911956826,0.20246113906112828
A,elastic_net,9,0.0015622924977160002,0.25280860297441543,0.1942649940581875
A,random_forest,0,0.010685746719280909,0.26345500244613423,0.20628498444979543
A,random_forest,1,0.0006392777718724485,0.2539234693532463,0.19771454947613418
A,random_forest,2,0.0025737189853873854,0.24521133920722035,0.19024929707643656
A,random_forest,3,0.004111269028354569,0.2519915840506535,0.19591442976884801
A,random_forest,4,0.021326146229234455,0.26618592349389125,0.20254404119912853
A,random_forest,5,0.013959460913323896,0.255353639304579,0.19928802248420924
A,random_forest,6,0.005811025003404469,0.2596122505855004,0.19852212696417376
A,random_forest,7,0.019961045639456998,0.25198918251585606,0.19793885382463033
A,random_forest,8,-3.9277705792262196e-05,0.261628707836813,0.2032989648435831
A,random_forest,9,0.004365249349659206,0.2524534933722665,0.19362354793323458
A,hist_gradient_boosting,0,-0.03131151463634385,0.2689888322857569,0.20797007730982542
A,hist_gradient_boosting,1,-0.0008295602188312934,0.2541100063484541,0.1964918850078188
A,hist_gradient_boosting,2,-0.03230655308210406,0.2494620504759953,0.19204821682034434
A,hist_gradient_boosting,3,-0.022075070034215827,0.25528307657370597,0.19762603107661894
A,hist_gradient_boosting,4,0.010671149838517469,0.26763100767630454,0.20362205791123847
A,hist_gradient_boosting,5,-0.00025496781371403543,0.2571875995997685,0.1982629681045844
A,hist_gradient_boosting,6,-0.013737818660270573,0.26215221712090836,0.19987034007558682
A,hist_gradient_boosting,7,0.0064348432674178335,0.25372216287598953,0.1991599927335173
A,hist_gradient_boosting,8,-0.012998837169299948,0.2633184808090205,0.2041326518116883
A,hist_gradient_boosting,9,-0.04055901664626549,0.2580861623837398,0.19718985874586872
O+S,ridge,0,0.04696066143504585,0.25857988021705947,0.19988887115187612
O+S,ridge,1,0.051546260224317964,0.24737156785550052,0.19328655910775644
O+S,ridge,2,0.04045240276858664,0.24051014866049336,0.1848886362910791
O+S,ridge,3,0.03102825294216527,0.2485628298343959,0.19395692486296162
O+S,ridge,4,0.04002089193313385,0.26363130725587786,0.19970075412920418
O+S,ridge,5,0.03889020562771617,0.25210483105871734,0.19606065409049533
O+S,ridge,6,0.03360031804941732,0.25595823095902,0.19478570855418198
O+S,ridge,7,0.05390810165352666,0.24758645996206793,0.19217531432440965
O+S,ridge,8,0.04886138793623751,0.25515188058961913,0.19833843300477402
O+S,ridge,9,0.02669326950730333,0.249606692066065,0.19134910437045238
O+S,elastic_net,0,0.04533970248488506,0.2587996871446952,0.20027230908089005
O+S,elastic_net,1,0.04967834968369789,0.24761503818047922,0.19337876486377845
