sample,outcome,amount,contrast,effect,se,lo,hi,p,N
C,mpc_25plus,200,medical-cash,-0.10522398474205695,0.026562401618193916,-0.15728533525660549,-0.05316263422750842,7.451526575300112e-05,5171
C,mpc_25plus,200,medical-food,-0.07103034569573155,0.026380064711239957,-0.12273432243959789,-0.019326368951865215,0.0070902240227480925,5171
C,mpc_25plus,1000,food-cash,-0.0427229000687143,0.027174751803867796,-0.09598443489311004,0.010538634755681446,0.11591479519183841,5171
C,mpc_25plus,1000,medical-cash,-0.09147818563836402,0.026389121432833146,-0.143199913230371,-0.039756458046357024,0.0005272597207143861,5171
C,mpc_25plus,1000,medical-food,-0.04875528556964972,0.025545013936856036,-0.09882259287046129,0.0013120217311618498,0.056313348218435894,5171
C,mpc_25plus,5000,food-cash,-0.02915953643480856,0.02639741081240519,-0.08089751091223095,0.022578438042613825,0.26931724447336136,5171
C,mpc_25plus,5000,medical-cash,-0.025209437458067432,0.026132419923889854,-0.07642803933776848,0.026009164421633625,0.33470483567228304,5171
C,mpc_25plus,5000,medical-food,0.0039500989767411315,0.02545095142813089,-0.04593284919467367,0.053833047148155934,0.8766602003498424,5171
C,mpc_25plus,pooled,food-cash,-0.03535869184994942,0.015623785280204356,-0.06598074830133699,-0.004736635398561846,0.023627539971257626,5171
C,mpc_25plus,pooled,medical-cash,-0.0739705359461628,0.015220053587296424,-0.10380129282003345,-0.04413977907229216,1.1734386065593892e-06,5171
C,mpc_25plus,pooled,medical-food,-0.03861184409621338,0.014892975524650158,-0.0678015397471642,-0.00942214844526255,0.00952476137142856,5171
C,mpc_50plus,200,food-cash,-0.02974378191016004,0.02218665156197549,-0.07322881990917134,0.013741256088851253,0.18004513280895318,5171
C,mpc_50plus,200,medical-cash,-0.07387077266595346,0.020867865421067982,-0.11477103732547547,-0.03297050800643145,0.0004002339139412027,5171
C,mpc_50plus,200,medical-food,-0.04412699075579342,0.020213358964891605,-0.08374444633356079,-0.004509535178026047,0.029031335908318037,5171
C,mpc_50plus,1000,food-cash,-0.035275874236262786,0.020925745284312142,-0.07628958134317346,0.005737832870647885,0.09184120754799185,5171
C,mpc_50plus,1000,medical-cash,-0.06308243727598566,0.020011721138715435,-0.10230468997652678,-0.023860184575444525,0.0016200392510020108,5171
C,mpc_50plus,1000,medical-food,-0.02780656303972287,0.018662897678273966,-0.06438517033629604,0.008772044256850298,0.1362405021552389,5171
C,mpc_50plus,5000,food-cash,0.01981744441666293,0.019859388268679966,-0.01910624134494706,0.05874113017827292,0.3183336916453542,5171
C,mpc_50plus,5000,medical-cash,0.0026714432564514667,0.019024920104500156,-0.03461671495712084,0.039959601470023774,0.8883296527035712,5171
