sample,variable,contrast,spec,se_type,amount,effect,se,lo,hi,p,N
R,q43_edu,medical-food,province_FE,province_cluster,1000,-0.2709157066706077,0.10877548557387584,-0.48411174079626057,-0.05771967254495486,0.012752931080063921,5497
R,q43_edu,medical-food,province_FE,province_cluster,5000,-0.10774800378686056,0.09600781882764325,-0.29591987092328786,0.08042386334956675,0.2617418625500655,5497
R,q43_edu,medical-food,province_FE,province_cluster,pooled,-0.1499300733441405,0.0556575532327926,-0.25901687314803484,-0.04084327354024614,0.007064346729140417,5497
R,q43_edu,medical-cash,citytier_FE,HC1,200,-0.10709507437052006,0.0966472751082351,-0.29652025278659533,0.0823301040455552,0.267817608583793,5497
R,q43_edu,medical-cash,citytier_FE,HC1,1000,-0.17819474330055585,0.09010243809315611,-0.3547922768823917,-0.001597209718720044,0.04796362329220668,5497
R,q43_edu,medical-cash,citytier_FE,HC1,5000,-0.014990466764969235,0.08791290696031516,-0.18729659818340758,0.1573156646534691,0.8646051617586741,5497
R,q43_edu,medical-cash,citytier_FE,HC1,pooled,-0.10009342814534837,0.05292243667865177,-0.2038194980096074,0.003632641718910659,0.058581224028454185,5497
R,q43_edu,medical-food,citytier_FE,HC1,200,-0.07873282508998311,0.09069939004050107,-0.25650036298911605,0.09903471280914986,0.3853596006257465,5497
R,q43_edu,medical-food,citytier_FE,HC1,1000,-0.2623707223204569,0.08770926982588668,-0.4342777322895005,-0.09046371235141329,0.0027773038052167237,5497
R,q43_edu,medical-food,citytier_FE,HC1,5000,-0.1109655095476086,0.08602679544735839,-0.27957493032982533,0.05764391123460812,0.19708721297295528,5497
R,q43_edu,medical-food,citytier_FE,HC1,pooled,-0.15068968565268287,0.05089834828864757,-0.250448615171008,-0.05093075613435774,0.0030703972686575444,5497
R,q43_edu,medical-cash,citytier_FE,HC3,200,-0.10709507437052006,0.09719206299755138,-0.2975880174288688,0.08339786868782871,0.2705089951940006,5497
