feature_set,model,fold,N_test,r2,rmse,mae
O+A,rf,2,1099,0.04969613726548816,0.25177481520285416,0.19357106211817604
O+A,rf,3,1099,0.03718652415606438,0.2517286961949906,0.19450701477791513
O+A,rf,4,1099,0.04964684347137005,0.2574237301135916,0.199880304762857
O+A,rf,5,1100,0.058117471931991016,0.2539641117549071,0.19272549200615738
O+A,rf,6,1100,0.0578437119800721,0.2515713491237109,0.19682580830618696
O+A,rf,7,1099,0.04964280201919091,0.2568767084633454,0.19851083533564412
O+A,rf,8,1099,0.034428174286801116,0.2343417540033277,0.1830784099338945
O+A,rf,9,1099,0.02599246384568421,0.2592488325970765,0.1986220725249716
O+A,hgb,0,1100,0.04562586619977771,0.24579063388850234,0.18887215263429488
O+A,hgb,1,1100,0.08701855177898499,0.24474931473942962,0.18742813126810684
O+A,hgb,2,1099,0.037652754674618594,0.2533651874853503,0.19207811200714148
O+A,hgb,3,1099,0.013018331997424082,0.2548685155540253,0.19518810398255482
O+A,hgb,4,1099,0.06632448654214085,0.25515498218547356,0.19669685621679456
O+A,hgb,5,1100,0.04589597361167452,0.25560647063529274,0.19240700160962143
O+A,hgb,6,1100,0.04759580605536862,0.25293582916247065,0.1963123636825887
O+A,hgb,7,1099,0.04885121720063568,0.25698366686729035,0.1983125491826069
O+A,hgb,8,1099,0.0019221637710665762,0.23825366469703227,0.18344621163708733
O+A,hgb,9,1099,0.01497946006207962,0.2607103629090701,0.1972522097742398
ALL,ridge,0,1100,0.042125469886234446,0.24624096942426527,0.1894277317656714
ALL,ridge,1,1100,0.059143287578861226,0.24845758065068077,0.1905214171749489
ALL,ridge,2,1099,0.04662674082570206,0.25218109246918735,0.1940769333440495
ALL,ridge,3,1099,0.016861345978306685,0.2543718403897532,0.19654258359329613
ALL,ridge,4,1099,0.04033647822798059,0.25868161384165517,0.20107661575581737
ALL,ridge,5,1100,0.05798428724401028,0.25398206671975326,0.19212957585131935
ALL,ridge,6,1100,0.051925749527334975,0.2523602093418311,0.19703693863195482
ALL,ridge,7,1099,0.03944574437844284,0.258251137855562,0.19845628487633474
ALL,ridge,8,1099,0.02608965630817317,0.235351447044622,0.18302507596984272
ALL,ridge,9,1099,0.014737043633089475,0.26074244172602773,0.20113365504726455
ALL,elastic_net,0,1100,0.044298207010306734,0.2459615379241876,0.1894716067936516
ALL,elastic_net,1,1100,0.059956427083336816,0.2483501921707502,0.19145604625627743
ALL,elastic_net,2,1099,0.0481924675466181,0.25197392863340395,0.1943088038111694
ALL,elastic_net,3,1099,0.026675867103760575,0.2530989783555806,0.19562630992250302
ALL,elastic_net,4,1099,0.04296112480641723,0.2583276290032876,0.2011436534334058
ALL,elastic_net,5,1100,0.05450216765689209,0.2544510504860174,0.1930841557463063
ALL,elastic_net,6,1100,0.053657496861093,0.25212962409578865,0.19710863125328967
ALL,elastic_net,7,1099,0.03922364604497386,0.2582809924066543,0.198830630447859
ALL,elastic_net,8,1099,0.03498480778471469,0.23427419751940004,0.18302030086398266
ALL,elastic_net,9,1099,0.022755304789722985,0.2596792879717767,0.2003935629225738
ALL,rf,0,1100,0.062380664891075965,0.2436235553218441,0.188208134468395
ALL,rf,1,1100,0.05703593055607781,0.24873567611475186,0.19247423712995365
ALL,rf,2,1099,0.044661213121480525,0.2524409139542511,0.19454550725954697
ALL,rf,3,1099,0.03772731774111726,0.2516579907111595,0.194444054207271
ALL,rf,4,1099,0.04489790227985824,0.2580661053962685,0.20077149801418084
ALL,rf,5,1100,0.058594125526520546,0.2538998424738811,0.1924152459060623
ALL,rf,6,1100,0.06470077571553046,0.2506542024646088,0.19667249435662532
ALL,rf,7,1099,0.05252880909040325,0.2564863753975829,0.198114288206631
ALL,rf,8,1099,0.030095050551534164,0.23486698429656422,0.1844914786693455
ALL,rf,9,1099,0.029454551362717907,0.25878767541518155,0.1989193484480091
