sample,variable,specification,se_type,amount,effect_or_wald,se,lo,hi,p,N
A,income_h,controls,HC1,200,-0.2808727982067892,0.09469593057367373,-0.46647341161369504,-0.09527218479988328,0.0030165213452717572,5480
A,income_h,controls,HC1,1000,-0.15158166345248522,0.08601176930516795,-0.3201616335371821,0.016998306632211663,0.07801249385524256,5480
A,income_h,controls,HC1,5000,-0.01717689718391993,0.08098275730376515,-0.17590018486804765,0.14154639050020779,0.8320246426841957,5480
A,income_h,controls,HC1,joint,16.680057080025996,,,,0.010533873478189824,5480
A,income_h,controls,HC3,200,-0.2808727982067892,0.09577660749394618,-0.4685914994563527,-0.09315409695722562,0.003361556525337441,5480
A,income_h,controls,HC3,1000,-0.15158166345248522,0.08679468635368903,-0.3216961227551658,0.018532795850195377,0.08073462163136344,5480
A,income_h,controls,HC3,5000,-0.01717689718391993,0.08182215987775525,-0.17754538368159845,0.14319158931375858,0.8337225823945542,5480
A,income_h,controls,HC3,joint,16.343244433582885,,,,0.012025532468757072,5480
A,income_h,controls,province_cluster,200,-0.2808727982067892,0.09856101556346847,-0.47404883899087913,-0.08769675742269922,0.00437556370893646,5480
A,income_h,controls,province_cluster,1000,-0.15158166345248522,0.09015193399085014,-0.3282762072111838,0.025112880306213364,0.09268481138879925,5480
A,income_h,controls,province_cluster,5000,-0.01717689718391993,0.07963117502920461,-0.17325113228776626,0.1388973379199264,0.8292171692876527,5480
A,income_h,controls,province_cluster,joint,13.455540825960366,,,,0.03634603258950894,5480
