variable,estimand,primary_effect,primary_p,primary_q,sign_stability,specs_p_lt_05,specs_total
q26_housing,food-cash,-0.035588526787358986,0.5104794554313203,0.8507990923855339,0.7857142857142857,1,14
q26_housing,medical-cash,0.027288350958200584,0.6073481363407774,0.7925983582428098,0.8571428571428571,0,14
q26_housing,medical-food,0.06287687774555957,0.22914949031793386,0.3273564147399055,0.9285714285714286,0,14
q26_housing,restricted-cash,-0.004150087914579201,0.929315577691421,0.9317810361554472,0.42857142857142855,1,14
q27_minorchild,food-cash,0.07652610099221631,0.1433309746354476,0.5015596920138352,0.8571428571428571,4,14
q27_minorchild,medical-cash,0.02896174609051042,0.566319465680704,0.7550926209076053,0.7857142857142857,0,14
q27_minorchild,medical-food,-0.047564354901705894,0.3453094868011195,0.3453094868011195,1.0,0,14
q27_minorchild,restricted-cash,0.05274392354136336,0.23909489689951768,0.44644085500962855,0.8571428571428571,1,14
q28_hhsize,food-cash,-0.06170682726940378,0.2507798460069176,0.5015596920138352,1.0,0,14
q28_hhsize,medical-cash,0.011486358484672452,0.8249706863125661,0.8249706863125661,0.5714285714285714,0,14
q28_hhsize,medical-food,0.07319318575407624,0.14734135343513752,0.2676645672225284,1.0,0,14
q28_hhsize,restricted-cash,-0.025110234392365666,0.5885098534264361,0.5885098534264361,1.0,0,14
q29_foodexp,food-cash,-0.012420158782477814,0.8181756856044531,0.8181756856044531,0.7142857142857143,0,14
q29_foodexp,medical-cash,-0.07813983645374642,0.1403955783784252,0.2807911567568504,0.8571428571428571,1,14
q29_foodexp,medical-food,-0.0657196776712686,0.2007484254168963,0.2676645672225284,0.9285714285714286,0,14
q29_foodexp,restricted-cash,-0.04527999761811212,0.3348306412572214,0.44644085500962855,0.8571428571428571,0,14
q30_medexp,food-cash,-0.01904058153621023,0.7269281133006573,0.8181756856044531,0.8571428571428571,0,14
q30_medexp,medical-cash,0.11691446349804474,0.02823077788725116,0.11292311154900464,1.0,6,14
q30_medexp,medical-food,0.13595504503425498,0.009678816159738934,0.038715264638955735,1.0,12,14
q30_medexp,restricted-cash,0.048936940980917255,0.29851584518577323,0.44644085500962855,1.0,0,14
q31_gotsubsidy,food-cash,0.03738470631415137,0.47019324582570676,0.8507990923855339,0.8571428571428571,0,14
q31_gotsubsidy,medical-cash,0.023653201927683377,0.6340786865942478,0.7925983582428098,0.7857142857142857,0,14
q31_gotsubsidy,medical-food,-0.013731504386467992,0.7810019678468346,0.8761492183304114,0.8571428571428571,0,14
q31_gotsubsidy,restricted-cash,0.030518954120917374,0.4911225667168012,0.9317810361554472,0.8571428571428571,0,14
q41_gender,food-cash,-0.02020024454170418,0.6983422223052418,0.8729277778815523,0.7142857142857143,0,14
q41_gender,medical-cash,-0.012401180791338912,0.8068341372567296,0.8717380754920342,0.5714285714285714,0,14
q41_gender,medical-food,0.007799063750365268,0.8761492183304114,0.8761492183304114,0.5,0,14
q41_gender,restricted-cash,-0.016300712666521548,0.7167362224612628,0.9317810361554472,0.6428571428571429,0,14
q42_age,food-cash,0.0007042344657084834,0.9892811205241436,0.9892811205241436,0.5,0,14
q42_age,medical-cash,-0.008475038796444416,0.8717380754920341,0.8717380754920342,0.6428571428571429,0,14
q42_age,medical-food,-0.0091792732621529,0.8614549400237644,0.8761492183304114,0.5714285714285714,0,14
q42_age,restricted-cash,-0.0038854021653679663,0.931781036155447,0.9317810361554472,0.7142857142857143,0,14
q43_edu,food-cash,0.04706039875310913,0.3748089746880554,0.8507990923855339,1.0,0,14
q43_edu,medical-cash,-0.10197506404613807,0.05432600336524848,0.18108667788416163,1.0,3,14
q43_edu,medical-food,-0.1490354627992472,0.003548186325933098,0.017740931629665488,1.0,10,14
q43_edu,restricted-cash,-0.02745733264651447,0.5543840138244123,0.9317810361554472,0.6428571428571429,0,14
q49_citytier,food-cash,0.024215078681542865,0.6413239096565102,0.8729277778815523,0.8571428571428571,0,14
q49_citytier,medical-cash,0.10913714065668448,0.030809039187455235,0.15404519593727617,1.0,8,14
q49_citytier,medical-food,0.08492206197514161,0.08026969041260498,0.16053938082520997,1.0,9,14
q49_citytier,restricted-cash,0.06667610966911366,0.1397550496763453,0.9317810361554472,1.0,2,14
