domain,encoded_predictor,context,row_type,standardized_coef,lo,p10,p25,p50,p75,p90,hi,pooled_coef,fixed_display_subset,bootstrap_B
social_wellbeing,q03a_fair_dist,food-medical,difference,-0.033681784,-0.06883173901587725,-0.059521154314279553,-0.04761777073144913,-0.03520099259912968,-0.02089877100661397,-0.01425306405872106,0.0016580504365265346,0.0058479835,False,300
social_wellbeing,q03b_fair_opp,cash,form,0.00068883406,-0.023110561585053802,-0.01509683234617114,-0.006369509734213352,0.0014478776138275862,0.00930438912473619,0.017179005593061448,0.02578015285544094,-0.0007579879,False,300
social_wellbeing,q03b_fair_opp,food,form,0.0005834427,-0.025213460624217986,-0.017994364723563194,-0.009668318089097738,0.000295499645289965,0.01068680128082633,0.019241455197334292,0.028428755234926894,-0.0007579879,False,300
social_wellbeing,q03b_fair_opp,medical,form,-0.0043132585,-0.030370426177978516,-0.02111182678490877,-0.012437941040843725,-0.004182221833616495,0.0048185751074925065,0.0111912121064961,0.017124967975541947,-0.0007579879,False,300
social_wellbeing,q03b_fair_opp,cash-food,difference,0.00010539137,-0.03792699193581939,-0.023410442098975182,-0.012189839268103242,0.001316019450314343,0.014009749051183462,0.024700771272182488,0.03817874928936356,-0.0007579879,False,300
social_wellbeing,q03b_fair_opp,cash-medical,difference,0.0050020926,-0.026391922309994698,-0.01464232737198472,-0.0053438423201441765,0.00561699247919023,0.017641592770814896,0.02899952158331872,0.03802852062508463,-0.0007579879,False,300
social_wellbeing,q03b_fair_opp,food-medical,difference,0.0048967013,-0.02613068469800055,-0.017975734546780586,-0.009120419388636947,0.003976799547672272,0.019421083386987448,0.02871575485914947,0.04209950529038899,-0.0007579879,False,300
social_wellbeing,q03c_fair_rule,cash,form,0.011543781,-0.011734392121434211,-0.005821598786860703,0.003032014472410083,0.01075353380292654,0.01838081842288375,0.025640677474439145,0.03134925295598804,-0.0016106636,False,300
social_wellbeing,q03c_fair_rule,food,form,0.004573041,-0.02125396877527237,-0.011992004048079251,-0.0039579515578225255,0.005223616724833846,0.0152255033608526,0.023209205269813547,0.03221974670886993,-0.0016106636,False,300
social_wellbeing,q03c_fair_rule,medical,form,-0.018358922,-0.04046955294907093,-0.032626401633024216,-0.026346519123762846,-0.018627576529979706,-0.011473157675936818,-0.0036132716340944015,0.0050073148333467515,-0.0016106636,False,300
social_wellbeing,q03c_fair_rule,cash-food,difference,0.0069707395,-0.030718364007771014,-0.019360683113336562,-0.007588314940221608,0.0054029920138418674,0.017672686837613583,0.02912186775356532,0.03653733795508741,-0.0016106636,False,300
social_wellbeing,q03c_fair_rule,cash-medical,difference,0.029902702,-0.0021765379002317785,0.009201084636151793,0.017872935626655817,0.029176277108490467,0.04141105618327856,0.049707413464784626,0.05739660374820232,-0.0016106636,False,300
social_wellbeing,q03c_fair_rule,food-medical,difference,0.022931963,-0.01091469768434763,-0.00020120856352150436,0.01212167227640748,0.0227959668263793,0.03723656479269266,0.04627757743000984,0.060568109340965716,-0.0016106636,False,300
social_wellbeing,q04_trust_gov,cash,form,-0.008048534,-0.033708665519952774,-0.023766248673200607,-0.015978178940713406,-0.007429934572428465,0.0011106349702458829,0.007887845300137999,0.013987018540501581,-0.0069526196,False,300
social_wellbeing,q04_trust_gov,food,form,-0.011055256,-0.03778709731996059,-0.027557904832065105,-0.018201525323092937,-0.00959680788218975,-0.0019587835122365505,0.0056306743994355285,0.01182416765950619,-0.0069526196,False,300
social_wellbeing,q04_trust_gov,medical,form,-0.013280937,-0.036861995607614516,-0.0271423052996397,-0.020748439710587263,-0.013221629429608583,-0.006592143909074366,0.001621010340750225,0.007816583185922347,-0.0069526196,False,300
social_wellbeing,q04_trust_gov,cash-food,difference,0.0030067218,-0.032536106463521716,-0.020240421779453753,-0.009518283884972334,0.0016410485841333866,0.015827782917767763,0.0262193150818348,0.04028743598610161,-0.0069526196,False,300
social_wellbeing,q04_trust_gov,cash-medical,difference,0.005232403,-0.028523098630830645,-0.017982205003499983,-0.005418719258159399,0.006352821132168174,0.01680003898218274,0.0271683692932129,0.03555118897929786,-0.0069526196,False,300
social_wellbeing,q04_trust_gov,food-medical,difference,0.0022256812,-0.03227704493328929,-0.019926278665661813,-0.008466246305033565,0.0022071730345487595,0.015602681552991271,0.02587496154010296,0.03368303524330258,-0.0069526196,False,300
social_wellbeing,q05_trust_soc,cash,form,-0.01153846,-0.036430077720433475,-0.029012972861528395,-0.020959568675607443,-0.012195614166557789,-0.0011890908353962004,0.006199203012511138,0.011282476363703595,0.0034739755,False,300
social_wellbeing,q05_trust_soc,food,form,-0.008463491,-0.030323401419445874,-0.02322461660951376,-0.01586542185395956,-0.00811208039522171,0.0010871492850128561,0.008335467893630271,0.019004585687071078,0.0034739755,False,300
social_wellbeing,q05_trust_soc,medical,form,0.032302637,0.011384946131147445,0.018634345196187497,0.025010438170284033,0.031232871115207672,0.037878492847085,0.04509616605937481,0.05269872630015014,0.0034739755,False,300
